fecha,activos
2015-01-30,"AABA-201910,AGN-201503,AMGN,BBWI,CFN-201503,DAL,EA,EW,KDP,KR,LOW,LUV,MAR,MNST,ORLY,REGN,ROST,SHW,SIAL-201511,SPLS-201709"
2015-02-27,"AAPL,AGN-201503,ANDV-201809,BBWI,CELG-201911,CFN-201503,EA,EW,IRM,KDP,KR,LOW,LUV,MNST,MO,ROST,SHW,SIAL-201511,SPLS-201709,WHR"
2015-03-31,"AAPL,ANDV-201809,BBWI,COR,DLTR,EA,ELV,EW,FTRCQ-202104,HSP-201509,KR,LOW,LUV,MNST,MO,RAI-201707,ROST,SIAL-201511,UNH,WHR"
2015-04-30,"ANDV-201809,BBWI,BSX,CI,COR,DLTR,EA,EW,HSP-201509,HUM,KMX,KR,KRFT-201507,LOW,LUV,MNST,ORLY,ROST,SPLS-201709,UNH"
2015-05-29,"AET-201811,AMZN,BBWI,BSX,CI,COR,DLTR,EA,HSP-201509,KMX,KR,KRFT-201507,KSS,LUV,MNST,NFLX,RHT-201907,SBUX,VMC,VTRS"
2015-06-30,"AET-201811,ALTR-201512,BRCM-201601,BSX,CI,COR,EA,ELV,ETFC-202010,HSP-201509,HUM,KMX,KRFT-201507,MNST,NEM,NFLX,PLL-201508,REGN,RHT-201907,VMC"
2015-07-31,"AET-201811,ALTR-201512,AMZN,BSX,CAG,CI,DRI,EA,ELV,EXPE,HAS,HSP-201509,HUM,MNST,NFLX,PLL-201508,REGN,SBUX,SEE,UNH"
2015-08-31,"ALTR-201512,AMZN,CI,CVC-201606,DIS,DRI,EA,EW,EXPE,HAS,HSP-201509,MNST,NFLX,ORLY,RAI-201707,REGN,SBUX,SEE,TSS-201909,TWC-201605"
2015-09-30,"AET-201811,ALTR-201512,AMZN,CAG,CB-201601,CI,CVC-201606,EA,EXPE,HAS,NFLX,NKE,ORLY,RAI-201707,REGN,SBUX,STZ,TSS-201909,TWC-201605,VMC"
2015-10-30,"AIZ,ALTR-201512,AMZN,ANDV-201809,BRCM-201601,CB-201601,CVC-201606,EA,EXPE,GAS-201606,NFLX,NKE,NVDA,ORLY,RAI-201707,SBUX,TE-201606,TSS-201909,TWC-201605,UAA"
2015-11-30,"ALTR-201512,AMZN,ANDV-201809,CB-201601,CVC-201606,EA,EXPE,GOOG,GOOGL,JNPR-202507,MAS,NFLX,NKE,NVDA,ORLY,RAI-201707,REGN,SBUX,TE-201606,TSS-201909"
2015-12-31,"AMZN,ANDV-201809,CAM-201604,CB-201601,CVC-201606,GOOG,GOOGL,HRL,MAS,META,NFLX,NKE,NVDA,RAI-201707,SBUX,TE-201606,TSS-201909,URI,VLO,VRSN"
2016-01-29,"AMZN,ANDV-201809,CVC-201606,FSLR,GAS-201606,GOOG,GOOGL,HRL,KDP,MCD,NFLX,NVDA,PSA,RAI-201707,STZ,TAP,TE-201606,TSN,TSS-201909,VRSN"
2016-02-29,"AMZN,ARG-201605,CAM-201604,CVC-201606,FSLR,GAS-201606,GOOG,GOOGL,HRL,MCD,META,MSFT,NDAQ,NVDA,PSA,RAI-201707,STZ,TE-201606,TSN,XLNX-202202"
2016-03-31,"ARG-201605,CINF,CPB,CVC-201606,EW,FSLR,HRL,KLAC,MAT,MCD,META,NDAQ,NEM,NI,NVDA,PSA,RAI-201707,TE-201606,TSN,VRSN"
2016-04-29,"AMZN,ARG-201605,AVY,CPB,FAST,FSLR,GE,HRL,KLAC,MAT,MCD,META,MSFT,NEM,NI,NVDA,PM,PSA,SNDK-201605,TSN"
2016-05-31,"AMZN,AVY,BSX,CINF,CPB,CVC-201606,EW,HRL,ISRG,MAT,MCD,META,NEM,NI,NVDA,SCG-201812,STZ,TE-201606,TPR,TSN"
2016-06-30,"AMAT,AMZN,BSX,CINF,CNP,DG,EW,ISRG,MAT,META,NEM,NI,NVDA,OKE,SCG-201812,SYY,TSN,VTR,WEC,WYNN"
2016-07-29,"AEE,CINF,CMS,CPB,ED,EIX,IRM,MLM,NEM,NI,NVDA,OKE,PNW,SCG-201812,SE-201702,TSN,VMC,VTR,WEC,WM"
2016-08-31,"AMAT,BSX,EW,FCX,GRMN,IRM,LLTC-201703,MAS,MLM,NEM,NFX-201902,NVDA,OKE,PLD,SYY,TSN,TXN,URI,VMC,VTR"
2016-09-30,"AMAT,AMZN,BSX,CHKAQ-202102,DVN,EW,GEN,LLTC-201703,MCHP,NEM,NFX-201902,NVDA,OKE,PLD,PXD-202405,SWN-202409,TSN,TXN,URI,XYL"
2016-10-31,"ADSK,AMAT,AMZN,APA,DVN,EBAY,EW,GEN,LLTC-201703,MCHP,MU,NEM,NVDA,OKE,PXD-202405,SE-201702,STJ-201701,SWN-202409,WMB,XYL"
2016-11-30,"AKAM,AMAT,AVGO,FFIV,GEN,GRMN,LLTC-201703,LRCX,MCHP,MU,NEM,NFLX,NTAP,NVDA,OKE,PWR,QCOM,SE-201702,STX,TSN"
2016-12-30,"AMAT,BBY,CHKAQ-202102,CMA,FCX,GEN,KSS,LLTC-201703,MS,MU,NAVI,NUE,NVDA,OKE,PWR,RF,SE-201702,STX,URI,ZION"
2017-01-31,"AMAT,BAC,BBY,BKR,CHKAQ-202102,CMA,FCX,FITB,GS,KEY,LNC,MS,MU,NAVI,NVDA,OKE,PWR,RF,URI,ZION"
2017-02-28,"AMAT,BAC,CMA,CSX,ETFC-202010,FCX,KEY,LNC,MS,MU,NFLX,NTAP,NVDA,OKE,PWR,RF,STX,URI,WDC,ZION"
2017-03-31,"BAC,CMA,CSX,FITB,GS,JEF,KEY,LNC,MS,MU,NVDA,OKE,PRU,PWR,RF,STI-201912,STX,URI,WDC,ZION"
2017-04-28,"AMAT,BAC,CMA,CSX,FMC,GS,JEF,KEY,LNC,LRCX,MS,MU,NFLX,NRG,NVDA,PWR,RF,URI,WDC,ZION"
2017-05-31,"AMAT,AMP,BAC,BBY,BCR-201712,CMA,CSX,FMC,GEN,JEF,LNC,LRCX,MS,MU,NVDA,STX,TNL,URI,VRTX,WDC"
2017-06-30,"AAPL,ADSK,AMAT,ATVI-202310,AVGO,BBY,BCR-201712,CSX,EA,FMC,GEN,LRCX,MAR,MU,NFLX,NVDA,STX,SWKS,TNL,WDC"
2017-07-31,"ADBE,ADSK,AMAT,ATVI-202310,AVGO,BA,BBY,CSX,FMC,HAS,ISRG,LRCX,MU,NVDA,PYPL,RCL,SWKS,VRTX,WDC,WYNN"
2017-08-31,"ADBE,ADSK,AMAT,AMP,ATVI-202310,BA,BBY,BCR-201712,DE,EA,FMC,HRB,LRCX,MU,NFLX,NRG,NVDA,PYPL,TNL,VRTX"
2017-09-29,"ADBE,ADSK,ATVI-202310,BA,BCR-201712,COL-201811,EA,FMC,ISRG,LRCX,MU,NFLX,NRG,NVDA,PYPL,RCL,RHT-201907,VRTX,WDC,WYNN"
