fechas,valor_total
2015-01-30,249427.6955833435
2015-02-27,257662.885099411
2015-03-31,256622.98706436157
2015-04-30,246558.48993492126
2015-05-29,251449.5214138031
2015-06-30,252267.83352470398
2015-07-31,249673.62496757507
2015-08-31,240006.17929267883
2015-09-30,237461.78304290771
2015-10-30,260209.37458229065
2015-11-30,261747.54271507263
2015-12-31,255896.26138305664
2016-01-29,236744.34770011902
2016-02-29,240057.59570503235
2016-03-31,249756.10197257996
2016-04-29,247048.791305542
2016-05-31,250504.48510360718
2016-06-30,256931.27529335022
2016-07-29,270878.80066108704
2016-08-31,262393.8651866913
2016-09-30,261986.49523353577
2016-10-31,246910.43743896484
2016-11-30,259960.77142333984
2016-12-30,264160.7109260559
2017-01-31,268939.95824432373
2017-02-28,270760.9127635956
2017-03-31,271086.5843029022
2017-04-28,268252.8400211334
2017-05-31,271543.4513130188
2017-06-30,272952.68522644043
2017-07-31,282295.8018951416
2017-08-31,288986.93751621246
2017-09-29,297662.9403657913
2017-10-31,313977.4807844162
2017-11-30,319571.2385644913
2017-12-29,323411.1171579361
2018-01-31,341768.1158685684
2018-02-28,333248.39015483856
2018-03-29,323424.0139951706
2018-04-30,332751.2583169937
2018-05-31,343247.3438100815
2018-06-29,342875.2527399063
2018-07-31,351770.7538385391
2018-08-31,359423.0209646225
2018-09-28,359975.0748720169
2018-10-31,328462.7647371292
2018-11-30,332783.5953550339
2018-12-31,303984.77549266815
2019-01-31,323582.4451189041
2019-02-28,337027.38115024567
2019-03-29,348829.15819072723
2019-04-30,343756.8267660141
2019-05-31,340671.1904706955
2019-06-28,362280.38781642914
2019-07-31,373209.9208936691
2019-08-30,364482.25552845
2019-09-30,356762.7800245285
2019-10-31,355630.8158788681
2019-11-29,354270.0899858475
2019-12-31,357540.75874614716
2020-01-31,359318.8659620285
2020-02-28,327691.20860385895
2020-03-31,302944.2565870285
2020-04-30,326722.7923898697
2020-05-29,337743.91286182404
2020-06-30,344174.4218759537
2020-07-31,370765.41177845
2020-08-31,380663.68418598175
2020-09-30,368092.9462957382
2020-10-30,363403.4468507767
2020-11-30,381475.1365098953
2020-12-31,386458.7605829239
2021-01-29,388679.12901210785
2021-02-26,411183.4687871933
2021-03-31,410627.20630931854
2021-04-30,418640.76049137115
2021-05-28,429223.1449842453
2021-06-30,424622.4219751358
2021-07-30,420437.1302423477
2021-08-31,420846.2809267044
2021-09-30,413075.23433589935
2021-10-29,420832.7090215683
2021-11-30,421847.1890859604
2021-12-31,420024.13347148895
2022-01-31,404114.09471416473
2022-02-28,412574.84797382355
2022-03-31,441835.203543663
2022-04-29,438199.68577098846
2022-05-31,459520.2806367874
2022-06-30,409384.43215465546
2022-07-29,423837.5691690445
2022-08-31,439298.50899219513
2022-09-30,418372.6199617386
2022-10-31,464819.7211713791
2022-11-30,469598.2721452713
2022-12-30,456353.2352399826
2023-01-31,463991.5747613907
2023-02-28,450468.3017625809
2023-03-31,441906.88993930817
2023-04-28,441194.24675273895
2023-05-31,435688.97135066986
2023-06-30,455718.14953899384
2023-07-31,462315.1313276291
2023-08-31,451557.71415805817
2023-09-29,433085.17764377594
2023-10-31,422994.21797657013
2023-11-30,448881.7399301529
2023-12-29,462249.97372722626
2024-01-31,470338.2952737808
2024-02-29,484065.63870716095
2024-03-28,497070.2525434494
2024-04-30,489011.48582935333
2024-05-31,507583.2584295273
2024-06-28,512620.50930690765
2024-07-31,505640.10687351227
2024-08-30,511234.7024297714
2024-09-30,519259.4307870865
2024-10-31,521101.4151830673
2024-11-29,529192.2300081253
2024-12-31,520487.420876503
2025-01-31,537238.9934339523
2025-02-28,527572.3830804825
2025-03-31,494166.19635105133
2025-04-30,498936.1466035843
2025-05-30,513214.44323825836
2025-06-30,525487.8321561813
2025-07-31,523393.39237499237
2025-08-29,520548.63439655304
2025-09-30,541270.9286394119
2025-10-31,548687.857544899
2025-11-28,541867.8659334183
2025-12-31,550902.4858560562
2026-01-30,598709.5625486374
